#group,FALSE,FALSE,FALSE,FALSE
#datatype,string,dateTime:RFC3339,string,long
#default,,,,
,host,time,topic,value
,LAPTOP-8866L08J,2024-04-28T15:14:23.875005124Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:23.880807371Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:24.962580152Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:24.962613996Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:26.1007448Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:26.105789553Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:27.143152172Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:27.146912119Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:28.215819502Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:28.223575133Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:35.824066748Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:35.82566295Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:36.893541789Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:36.893541799Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:37.967764982Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:37.967923603Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:39.059080114Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:39.065105346Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:40.151086926Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:40.155162239Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:41.251367555Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:41.251491911Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:42.305434552Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:42.312141033Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:49.904292863Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:49.909169387Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:51.026375775Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:51.032818454Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:52.069740639Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:52.069772999Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:53.150536436Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:53.155492312Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:54.266259922Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:54.266436858Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:57.176850849Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:14:57.182209897Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:06.182787218Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:06.182796591Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:18.100422528Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:18.100464042Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:19.167000339Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:19.167001436Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:20.28781966Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:20.287952227Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:21.373735915Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:21.373889797Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:22.420614577Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:22.426293457Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:23.742509973Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:23.742516586Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:30.019380791Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:30.019436698Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:31.100142447Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:31.10258289Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:32.187279565Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:32.193303371Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:33.264472642Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:33.264519697Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:34.389237649Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:34.394366297Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:35.504727959Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:35.504727984Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:36.529448078Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:36.529452646Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:37.817720198Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:37.817721892Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:38.722939967Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:38.72300003Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:39.769514375Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:39.769574819Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:40.96223546Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:40.962299285Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:43.914599995Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:43.914740503Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:51.697262303Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:51.703915088Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:52.777865094Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:52.78453564Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:53.948215485Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:53.948379852Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:54.953934802Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:54.957188628Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:56.067274379Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:56.067411079Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:57.109999342Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:57.11000834Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:58.203700445Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:58.203700471Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:59.293560933Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:15:59.299482823Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:06.862431721Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:06.869072663Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:08.038575101Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:08.038686071Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:09.058511734Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:09.058537883Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:10.147772099Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:10.147836462Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:11.205114984Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:11.210493006Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:12.290997545Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:12.291085447Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:13.384603811Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:13.387949157Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:14.660572162Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:14.660598318Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:20.985255468Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:20.985258198Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:22.050702432Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:22.053748068Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:23.138941716Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:23.13899222Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:24.20812381Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:24.208130888Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:25.305144904Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:25.305172325Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:26.382950865Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:26.388826853Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:27.478229081Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:27.499299906Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:28.55014746Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:28.550204379Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:29.635207143Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:29.635207175Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:30.709570298Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:30.709577797Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:31.885769976Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:31.885774761Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:32.876172415Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:32.885643453Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:33.971016073Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:33.973791627Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:35.052734283Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:35.059789881Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:36.155542325Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:36.155566512Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:37.225326892Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:37.225350973Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:38.310688629Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:38.310688648Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:39.389055551Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:39.389197747Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:40.486912031Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:40.486916911Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:41.553096162Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:41.553230577Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:42.668830793Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:42.668896929Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:43.718955378Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:43.719062191Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:51.367504669Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:51.367604975Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:57.83003573Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:57.83025133Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:58.905680774Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:16:58.923084936Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:00.000944372Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:00.006903096Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:01.063828007Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:01.069621693Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:02.150445755Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:02.15048797Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:03.233525612Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:03.233525651Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:04.333770501Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:04.333855858Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:05.40674891Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:05.416989452Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:06.538016848Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:06.543542605Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:12.988552377Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:12.993879134Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:14.086806675Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:14.086834804Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:15.194150877Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:15.197556789Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:16.238827349Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:16.245669712Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:17.324682676Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:17.330525391Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:18.435795747Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:18.440050464Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:19.494649653Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:19.499683285Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:20.586100326Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:20.592658509Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:21.6603383Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:21.665983598Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:22.745824304Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:22.764920325Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:23.825132605Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:23.82989394Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:24.938950043Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:24.944192823Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:26.024721416Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:26.043131476Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:27.082315587Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:27.089036631Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:28.17047471Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:28.170508559Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:29.250957605Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:29.256180852Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:30.366991545Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:30.370193423Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:31.44668171Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:31.45089051Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:32.78645757Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:32.786546374Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:39.023191025Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:39.023313672Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:40.110300364Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:40.114636682Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:41.177812182Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:41.181496807Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:42.266322814Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:42.271135147Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:43.564254417Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:43.564408259Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:44.43795708Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:44.441602951Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:45.515585477Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:45.515634901Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:46.600961783Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:46.601088283Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:47.710001606Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:47.714705057Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:48.779379272Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:48.779477449Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:56.380235607Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:56.380360794Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:57.461954751Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:57.46198844Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:58.70579854Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:17:58.711125189Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:11.527722212Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:11.527797159Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:12.610727919Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:12.616955531Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:13.710359789Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:13.71557172Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:14.773834823Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:14.779986629Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:15.88225148Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:15.884178265Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:16.946640537Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:16.950038398Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:18.030031572Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:18.034786741Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:19.114200355Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:19.12131409Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:20.248437169Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:20.24852706Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:21.321563592Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:21.325734861Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:22.378482882Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:22.383808894Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:28.900252055Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:28.90027585Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:29.984565403Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:29.984591127Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:31.043230062Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:31.043279431Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:32.129024131Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:32.134839312Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:33.214792956Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:33.220318364Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:34.290870251Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:34.296184583Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:35.384049826Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:35.386095918Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:36.4594927Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:36.463746031Z,LoRa/ab/cm,49
,LAPTOP-8866L08J,2024-04-28T15:18:37.544775515Z,LoRa/ab/cm,49
